3.    إنشاء الكائنات والمتغيرات. ,1,4,C33
4.    أساليب متقدمة في هياكل البرمجة.,1,4,C33
5.    تطبيق مشروع عملي متكامل.,0,5,C33
1.    مقدمة عن البرمجة بلغة #C.,4,1,C34
2.    التعامل مع البيانات وعبارات الإدخال والإخراج.,1,4,C34
3.    الشروط والتكرارات والهياكل الأساسية للبرمجة. ,1,4,C34
4.    شرح الدوال واستخداماتها.,1,4,C34
5.    إنشاء دوال المستخدم وتطبيقاتها.,1,4,C34
1.    مراجعة عن البرمجة بلغة #C.,4,1,C35
2.    مدخل عن البرمجة باستخدام الكائنات.,1,4,C35
3.    إنشاء الكائنات والمتغيرات. ,1,4,C35
4.    أساليب متقدمة في هياكل البرمجة.,1,4,C35
5.    تطبيق مشروع عملي متكامل.,0,5,C35
1.    مقدمة عن البرمجة باستخدام Visual Basic وإطار NET.,5,0,C36
2.    التعامل مع واجهة بيئة التطوير والهيكل العام للغة.,1,4,C36
3.    التعامل مع المتغيرات والثوابت وإجراء العمليات الحسابية وأساليب إدخال وإخراج البيانات.,1,4,C36
4.    مكونات نماذج Windows والتعرف على الأحداث والخصائص.,1,4,C36
5.    تشغيل البرنامج واكتشاف أخطاء البرمجة.,1,4,C36
1.    البرامج الفرعية ودوال المستخدم والتعامل مع أخطاء التنفيذ.,1,4,C37
2.    القرارات والدورات.,1,4,C37
3.    مقدمة عن البرمجة باستخدام الكائنات وإنشاء الـ Classes وتطبيقاتها.,2,8,C37
4.    أساليب التوزيع والنشر المختلفة.,1,4,C37
1.    مقدمة عن تصميم قواعد البيانات.,4,1,C38
2.    استخدام نماذج البيانات.,1,4,C38
3.    تصميم التقارير.,4,1,C38
4.    برمجة قواعد البيانات.,2,8,C38
1.    أساسيات التعامل مع برنامج Photoshop.,2,3,C42
2.    التعامل مع أدوات الاختيار والأدوات المختلفة.,1,4,C42
3.    التعامل مع الطبقات والفلاتر.,1,4,C42
4.    إدخال وتجهيز الصور وإجراء التعديلات عليها.,1,4,C42
5.    استخدام الـ History وتطبيقاته.,1,4,C42
1.    أساسيات التعامل مع القنوات.,1,4,C43
2.    خيارات متقدمة للطبقات.,2,8,C43
3.    استخدام خيارات الألوان.,1,4,C43
4.    التعامل مع انساق الصور المختلفة.,1,4,C43
1.  الإعداد لتصميم موقع: الهدف واختيار المواضيع وعدد الصفحات وهيكل الموقع.,2,3,C46
2.  تصميم الصفحات باستخدام HTML.,2,3,C46
3.  استخدام CSS لتنسيق الصفحات.,2,3,C46
4.  إدراج الصور وعناصر الصوت والفيديو في الصفحات.,2,3,C46
5.  تصميم نماذج إدخال البيانات.,2,3,C46
1.    مقدمة عن لغة PHP ومكونات اللغة.,4,1,C48
2.    استخدام المتغيرات والمصفوفات والدوال.,1,4,C48
3.    التعامل مع الملفات.,1,4,C48
4.    التعامل مع قواعد البيانات.,1,4,C48
5.    تطبيق عملي.,0,5,C48
1.    مقدمة لتصميم المواقع باستخدام ASP.,2,3,C49
2.    عناصر لغة ASP.,2,8,C49
3.    الإجراءات الفرعية للغة ASP.,1,4,C49
4.    الكائنات بلغة ASP.,1,4,C49
1.  المفاهيم العلمية الحديثة لنظم المعلومات وأهمية نظم المعلومات.,2,0,C50
2.  تحديد متطلبات وهيكل نظم المعلومات.,3,0,C50
3.  وسائل تحليل وتصميم النظم.,5,0,C50
4.  تصميم قواعد البيانات.,5,0,C50
5.  توثيق النظم وقياس كفاءة التنفيذ للمشروعات.,5,0,C50
1.  مفهوم الأنظمة والبيانات والمعلومات.,5,0,C51
2.  الهيكل التنظيمي.,3,0,C51
3.  تطوير النظام القائم.,2,0,C51
4.  مواصفات محلل النظم.,3,0,C51
5.  دراسة الجدوى.,2,0,C51
6.  كيفية الحصول على المعلومة.,2,0,C51
7.  منهجية تحليل وتصميم النظم.,3,0,C51
8.  خطوات بناء النظام التحليلي.,2,0,C51
9.  أنواع الملفات وتكوينها.,3,0,C51
1.  تحليل وتصميم البيانات.,2,0,C52
2.  نموذج الكينونات وهياكل البيانات.,13,0,C52
3.  تحليل البيانات بأسلوب نموذج التطبيع الثالث (Normalization).,5,0,C52
4.  مخططات تدفق البيانات Data Flow Diagrams.,5,0,C52
5.  مقدمة عن تحليل وتصميم البيانات باستخدام مدخل الكائنات ولغة الـ UML.,5,0,C52
6.  حالة دراسية.,0,5,C52
1.    مقدمة عن الأرشفة الإلكترونية.  ,5,0,C53
2.    المحتوى الإلكتروني والتعامل مع الوثائق.,5,0,C53
3.    مراحل الأرشفة الإلكترونية.,5,0,C53
4.    تأمين الوثائق وتحديد صلاحيات المستخدمين.,5,0,C53
5.    مثال تطبيقي.,0,5,C53
1.  أساسيات لغة HTML.,2,3,C54
2.  البرمجة باستخدام لغة PHP.,2,8,C54
3.  برمجة الاتصال بقواعد البيانات.,2,3,C54
4.  تطبيقات عملية.,0,5,C54
1.  مراجعة على لغة PHP.,2,0,C55
2.  التعامل مع المتغيرات النصية.,1,2,C55
3.  نماذج البيانات والتحقق من الصحة.,2,3,C55
4.  دوال المستخدم وإدراج مكتبات الدوال.,2,3,C55
5.  المصفوفات متعددة الأبعاد.,2,3,C55
6.  إدارة الجلسات واستخدام الـ Cookies.,2,3,C55
1.    التعريف بأساسيات أمن المعلومات ,2,0,C56
2.    مقدمة عن شبكات الحاسب الآلي.,1,2,C56
3.    كيفية وضع أنظمة الحماية لشبكات الحاسب.,2,3,C56
4.    ضمان الحماية للبيانات على الإنترنت.,2,0,C56
5.    حماية المعلومات على أجهزة الهواتف المحمولة وتطبيقاتها.,1,2,C56
1.    التعريف بالحوسبة السحابية وإمكانية تبادل البيانات من خلالها.,2,3,C57
2.    التعريف بالبرمجيات الجديدة المستخدمة في تبادل البيانات إلكترونياً.,2,3,C57
3.    كيفية عمل الحسابات الإلكترونية والبحث عن البيانات.,2,3,C57
1.     مقدمة عن الإمكانيات الأساسية لنقل المعلومات وإمكانيات البحث المتقدم. ,5,0,C58
2.     استخدام الخدمات السحابية المختلفة (حفظ وتبادل الملفات).,1,4,C58
3.     استخدام الخدمات السحابية المختلفة (تطبيقات الإنترنت).,1,4,C58
